project_name,queue_position,proposed_online_date,current_online_date,fuel_types,delay_days
WHALE ROCK ENERGY,1749,2024-12-31 08:00:00,2031-04-27 07:00:00,Battery,2307
WINDY WASH SOLAR,1528,2021-06-30 07:00:00,2022-12-31 08:00:00,Solar,549
BATERIA DEL SUR,1531,2022-05-01 07:00:00,2025-06-30 07:00:00,Battery,1156
TAYLOR STORAGE,2182,2025-11-01 07:00:00,2029-12-01 08:00:00,Battery,1491
KOLA,1275,2020-12-01 08:00:00,2025-06-15 07:00:00,Battery,1656
JUGLANS ENERGY STORAGE,1847,2024-06-30 07:00:00,2031-02-02 08:00:00,Battery,2408
VELAS,1867,2024-11-01 07:00:00,2031-08-18 07:00:00,Battery,2481
COMMANDER ENERGY STORAGE,1874,2024-08-01 07:00:00,2032-07-19 07:00:00,Battery,2909
CAZADORES STORAGE,1929,2024-10-31 07:00:00,2032-08-19 07:00:00,Battery,2849
ROSAMOND SOUTH EAST,1211,2018-06-30 07:00:00,2025-05-15 07:00:00,Solar/Battery,2511
CYCLONE SOLAR,1327,2019-07-01 07:00:00,2025-05-15 07:00:00,Solar/Battery,2145
JAGUAR ENERGY STORAGE,1877,2024-08-01 07:00:00,2034-01-18 08:00:00,Battery,3457
TOWNSHIP EXPANSION,2195,2024-06-01 07:00:00,2024-06-01 07:00:00,Battery,0
LEAD,1713,2023-08-01 07:00:00,2025-08-01 07:00:00,Battery,731
"WELLHEAD POWER PANOCHE, LLC",1828,2021-04-01 07:00:00,2021-04-01 07:00:00,Battery,0
TAMALPAIS ENERGY STORAGE,1837,2025-06-01 07:00:00,2030-06-18 07:00:00,Battery,1843
BOREALIS ENERGY STORAGE,1838,2025-06-01 07:00:00,2030-06-18 07:00:00,Battery,1843
CALLINAN SOLAR AND STORAGE,1992,2025-10-01 07:00:00,2031-02-18 08:00:00,Battery/Solar,1966
ISLAY,1998,2028-04-01 07:00:00,2034-08-16 07:00:00,Battery/Wind Turbine,2328
GRINDSTONE CREEK SOLAR,1858,2024-08-31 07:00:00,2031-07-19 07:00:00,Solar,2513
STONY CREEK STORAGE,1863,2024-08-31 07:00:00,2031-07-19 07:00:00,Battery,2513
ULTRAPOWER CHINESE STATION BESS,1116,2017-03-31 07:00:00,2025-06-01 07:00:00,Battery,2984
CASCADE ENERGY STORAGE EXPANSION,1835,2022-12-01 08:00:00,2024-10-02 07:00:00,Battery,670
ETERNAL 2,2050,2026-12-01 08:00:00,2031-11-26 08:00:00,Pumped-Storage hydro/Battery,1821
RANGELAND SOLAR,2080,2024-10-30 07:00:00,2033-08-26 07:00:00,Solar/Battery,3222
TEPONA OFF-SHORE WIND,1491,2024-10-01 07:00:00,2034-10-01 07:00:00,Wind Turbine,3652
VOLTA DE MEXICALI,1664,2021-12-31 08:00:00,2035-03-10 08:00:00,Battery,4817
LAS CAMAS 4,1960,2025-05-07 07:00:00,2028-04-01 07:00:00,Battery,1060
FOUR CREEKS ENERGY STORAGE,2058,2025-06-01 07:00:00,2030-07-01 07:00:00,Battery,1856
TOWER 1 ENERGY STORAGE,2165,2025-06-01 07:00:00,2029-02-05 08:00:00,Battery,1345
AMBERJACK ENERGY STORAGE,2184,2024-11-30 08:00:00,2034-02-05 08:00:00,Battery,3354
DAGGETT SOLAR 1,1312,2020-06-30 07:00:00,2025-06-01 07:00:00,Battery,1797
OTROS ALAMITOS ENERGY STORAGE,2127,2025-10-30 07:00:00,2031-08-26 07:00:00,Battery,2126
AQUEDUCT ENERGY STORAGE ,1683,2023-12-31 08:00:00,2026-04-30 07:00:00,Battery,850
MIDLAND ES,1831,2024-11-01 07:00:00,2032-03-01 08:00:00,Battery,2677
GENOA ENERGY STORAGE,1840,2024-08-01 07:00:00,2031-12-19 08:00:00,Battery,2696
ANDROMEDA,2013,2026-12-31 08:00:00,2029-04-10 07:00:00,Battery/Solar,830
POME BESS,1669,2023-05-31 07:00:00,2025-05-06 07:00:00,Battery,706
MONTEZUMA (HIGH WINDS III),22,2005-06-30 07:00:00,2024-04-01 07:00:00,Wind Turbine/Battery,6850
TULE WIND,32,2007-09-01 07:00:00,2030-10-31 07:00:00,Wind Turbine/Battery,8461
MIDWAY PEAKING,54,2008-06-01 07:00:00,2027-06-30 07:00:00,Natural Gas/Battery,6968
FRESNO COGENERATION EXPANSION PROJECT,61,2006-05-31 07:00:00,2023-02-28 08:00:00,Natural Gas/Battery,6117
LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,72,2008-12-31 08:00:00,2028-12-31 08:00:00,Pumped-Storage hydro,7305
BOTTLE ROCK POWER,81,2006-09-01 07:00:00,2027-11-30 08:00:00,Geothermal/Battery,7760
CPC WEST,96,2009-12-31 08:00:00,2025-06-05 07:00:00,Wind Turbine/Battery,5634
WINDSTAR I ALTERNATE,100,2007-12-31 08:00:00,2030-10-15 07:00:00,Wind Turbine/Battery,8323
SILVER RIDGE MOUNT SIGNAL,124,2011-03-01 08:00:00,2027-06-01 07:00:00,Solar/Battery,5935
SANDSTORM WIND POWER ,138,2008-12-31 08:00:00,2030-02-01 08:00:00,Wind Turbine/Battery,7702
MONTEZUMA II,222,2010-12-31 08:00:00,2012-01-29 08:00:00,Wind Turbine/Battery,394
